,premise1,premise2,conclusion
4074,some rabbits live in meadows,a rabbit is a kind of animal,a rabbit is a kind of animal that may live in a meadow
2871,an animal is a kind of organism,a dog is a kind of animal,a dog is a kind of organism
701,an example of managing the use of a resource is useing less of that resource,water is a kind of natural resource,an example of managing the use of water is using less water
3336,mass is a property of matter,volume is a property of matter,matter has mass and volume
4808,"a leaf converts carbon dioxide, water, and light into carbohydrates",if a thing converts something into something else then that thing uses that something to produce that something else,a leaf uses light to produce carbohydrates
452,a supply of something is a source of that something,"as the use of something decreases , the use of the source of that something will decrease","as the use of something decreases, the use of the supply of that something decreases"
4110,adding one proton to an atom changes the proton number of the atom,atomic number is determined by the proton number of an atom,the atomic number of the atom will change
2231,texture can be detected by feeling,feeling is when an living thing senses through touch,touch can be used for detecting texture
3948,the lungs bring in oxygen from the air,bringing oxygen to the body is a kind of function,the lungs perform the function of bringing in oxygen from the air
2559,adding heat to food prevents food poisoning,cooking food requires adding heat energy to the food,cooking food prevents food poisoning
5088,something that contains gas is usually buoyant,an tennis ball contains gas,a tennis ball is buoyant
860,mountains are formed by plate tectonics,the appalachian mountains are a kind of mountain,the appalachian mountains are formed by plate tectonics
4292,"if something is formed from something else over a very long period of time, then that something else existed a very long time ago",fossil fuels / fossils forming occurs over a period of 300000000 years which is considered a very long time to a human,the organisms that formed fossil fuels existed a very long time ago
1828,natural selection is when organisms with beneficial traits survive competition to reproduce and pass their beneficial traits onto their offispring,the process of an organism passing traits to offspring occurs over a period of at least 1 generation to many generations,natural selection occurs over a period of 1 to many generations
3813,a light bulb is a part of a lamp,a light bulb converts electrical energy / electricity into light energy / light energy and heat energy,a lamp converts electrical energy to light and heat energy
2512,roots absorb water and nutrients from the soil,absorbing is a kind of function,the function of roots is to absorb water and nutrients
816,"as the use of public transportation increases , the use of automobiles decreases",bus is a kind of public transportation,"as the use of buses increases, the use of automobiles decreases"
1095,the giant redwood tree performs photosynthesis to get food by converting solar energy to food,food is a kind of chemical energy,the giant redwood tree performs photosynthesis to get food by converting solar energy to chemical energy
65,1 year is equal to 365 days,a complete revolution / orbit of the earth around the sun takes one year,a complete revolution of the earth around the sun takes 365 days
2607,a plant is a kind of organism,an animal is a kind of organism,plants and animals are kinds of organisms
4667,storing water is a kind of adaptation,storing something is a kind of method for increasing the availability of something,storing water is a kind of adaptation increasing the availability of water
1639,a hawk is a kind of predator,an owl is a kind of predator,hawks and owls are kinds of predators
2589,an animal requires warmth for survival in a cold environment,the arctic environment usually is cold in temperature from being at a northern lattitude,an animal requires warmth for survival in an arctic environment
1966,a cat is a kind of animal,a cat jumps when startled,some animals jump when startled
4049,a tundra is a kind of area,the tundra environment usually is very cold in temperature,a tundra is a kind of area that is usually very cold in temperature
4525,electromagnetic waves can travel through a vacuum,light is a kind of electromagnetic wave,light is a kind of wave that can travel through a vacuum
773,"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase",carbon dioxide contains carbon,"as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet / the atmosphere will increase"
3807,sleet is a kind of precipitation,sleet is when raindrops freeze as they fall,sleet is the precipitation when raindrops freeze as they fall
4965,skills are learned characteristics,hunting is a kind of skill,hunting is a learned characteristic
1698,an animal usually requires warmth for survival,if the environmental temperature is too cold then an animal in that environment may become cold,an animal requires warmth in cold temperatures
5080,norfolk and richmond are two towns,towns are usually kilometers away from each other,kilometer can be used to measure the distance between norfolk and richmond
5042,"he, ne, ar belong to noble gases family, group 18 on the periodic table",elements in the same group on the periodic table of elements have similar properties,"he, ne, ar have similar properties"
3676,a lemon tree is a kind of organism,cold temperatures usually have a negative impact on organisms,cold temperatures have a negative impact on the lemon trees
2814,food supply may limit the bear population in an ecosystem,population is a measure of the number of a species in an environment,food supply may limit the number of bears in an ecosystem
1531,hiding means ability to be seen decreases,camouflage is a kind of adaptation for hiding in an environment,camouflage is a kind of adaptation for decreasing something's ability to be seen in an environment
2716,plants are a source of food to herbivores,a mouse is a kind of herbivore,plants are a source of food to mice
757,humans discarding objects in a landfill has a negative impact on the environment,decreasing something negative has a positive impact on a thing,decreasing the number of objects discarded in landfills by humans has a positive impact on the environment
733,if pollen is not produced then plant reproduction is prevented from occuring,corn is a kind of plant,"if the corn does not produce pollen, then the corn reproduction is prevented from occuring"
3448,salt and pepper are two substances,salt and pepper are mixed in a container,salt and pepper are two substances mixed in a container
4537,a prism is made of glass,glass is a kind of material,a glass in a glass prism is a kind of material
438,renewable is the opposite of nonrenewable,something cannot have two opposite properties,something cannot be renewable and nonrenewable
4956,inherited characteristics are the opposite of acquired characteristics,inheriting is when an inherited characteristic is passed from parent to offspring by genetics / dna,acquired characteristics are not passed from parents to offspring
1173,a white shirt is white in color,if an object is white then that object reflects all visible light,a white colored shirt will reflect all visible light
3567,soup and a spoon are kinds of things,if two things are touching then heat energy will be transferred between those things,if soup and a spoon are touching then heat energy will be transferred between the soup and spoon
4930,if something comes from something else then that something else is a source of that something,the sun is the source of solar energy called sunlight,solar energy comes from the sun
1133,heat energy can change the state of matter,heat is a kind of heat energy,heat can change the state of matter
3781,if the food that an animal eats decreases in amount then that animal will lack food,some animals eat fish for food,if fish decrease in amount then animals that eat fish will lack food
2580,a shelter can be used for living in by raccoons,some raccoons live in hollow logs,an example of a shelter is a raccon living in a hollow log
4562,ultraviolet light causes sunburn,sunlight contains ultraviolet light,the ultraviolet in sunlight causes sunburn
1433,a dry environment is low in availability of water,a desert environment is a dry environment,a desert environment is low in availability of water
3864,plant cells contain a nucleus and chloroplasts and a cell wall,plants are made up of plant cells,plants are made up of cells that contain a nucleus and chloroplasts and a cell wall
2013,an example of an animal exchanging things with something else is that animal inhaling one kind of thing from that something else and exhaling another kind of thing to that something else,breathing is when an animal inhales one kind of gas from the environment and exhales another kind of gas into the environment,an example of an animal exchanging gasses with the environment is an animal breathing
2447,a redwood tree is a kind of plant,a wildflower is a kind of plant,a redwood tree and a wildflower are both kinds of plants
4151,yard and meter are both unit used for measuring length,1 yard equals to 09 meter,meter is the metric unit that is the most similar to yard
2017,the respiratory system takes oxygen from the air into the body,air is a part of the environment,the respiratory system takes oxygen from the environment into the body
2562,exercising causes the body to become stronger,being stronger usually has a positive impact on an organism 's / living thing 's health,exercise has a positive impact on a human 's health
2640,decomposition is when a decomposer recycles / returns nutrients / nitrogen from dead organisms to the soil by eating those dead organisms,soil is usually part of an environment,decomposers recycle nutrients from dead organisms into the environment
3544,a refrigerator door is magnetic,a magnet attracts magnetic metals / ferromagnetic metals through magnetism,a magnet can attract to a refrigerator door
1255,vibrations of particles will travel the fastest in solid state of matter,sound travels through vibrations of particles,sound travels fastest through solid
4761,skin is the first layer on the body to protect the body from harmful substances,a germ is a kind of harmful substance,skin is the first layer on the body to protect the body from germs
334,"as rocks are buried deeper underground, the pressure / heat on that rock will increase",deep means great in depth,if a rock is buried deep underground then the pressure / heat on that rock will be great
1304,skidding causes friction between the tire and the road,friction causes the temperature of an object to increase,friction causes the temperature of the tire to increase
1135,an x ray is a kind of electromagnetic wave,electromagnetic energy travels as electromagnetic waves,x-rays are a kind of electromagnetic energy
2399,sunlight is a kind of energy,a plant requires energy to perform photosynthesis,a plant can use sunlight to perform photosynthesis
1801,bark is a protective covering around the trunk of / branches of a tree,"as the thickness of something increases , the resistance  of that something to damage will increase",thick bark protects a tree from damage
2878,a dog sitting on command is an example of a dog following order,following orders is a learned characteristic,a dog sitting on command is a learned characteristic
4800,a consumer requires oxygen for survival,if something requires something else then that something can take in that something else,a consumer can take in oxygen for survival
850,recycling aluminum has a positive impact on the environment,recycling is a kind of method of disposal,recycling aluminum is the best way to dispose aluminum
3176,the elements in the chemical reaction stays the same after the reaction,oxygen reacts with hydrogen to produce water,oxygen and hyrdrogen elements stay the same after the reaction
2729,light is a kind of energy,sunlight is a kind of light,sunlight is a kind of energy
4115,the nucleus is the core of an atom,the nucleus of an atom is surrounded by  almost empty space,the core of an atom is surrounded by almost empty space
294,most of the hydroshpere is made of oceans,the formation of organic rocks is usually found in the ocean,most of the formation of organic rocks in the hydroshpere occurs in the oceans
2516,the decrease of something required by an organism has a negative impact on that organism 's survival / that organism 's ability,if there is a loss of something then that something decreases,a loss of something required by an organism has a negative impact on that organism's survival
3115,nucleus is a part of an atom,"if something is part of another thing, then another thing consist of that something",an atom consists of a nucleus
2472,pollination by insects has a positive impact on crop reproduction,eating crops has a positive impact on a human's survival,insects can have a positive impact on humans by pollinating crops
870,the earth 's atmosphere is made of 21 percent oxygen by volume,the earth 's atmosphere is made of 78 percent nitrogen by volume,nitrogen and oxygen make up 99% of the earth's atmosphere by volume
2404,photosynthesis is a kind of chemical process,if something is a raw material in a process then that something is required for that process,if something is a raw material in photosynthesis then that something is required for photosynthesis
3672,a line graph is used for showing change over time through connected data points,the change in squirrels' population over time needs to be shown in a graph,the change in squirrels' population over time can be shown using a line graph through connected data points
978,a tree's root growing into a crack in rock is an example of weathering,a tree is a kind of organism,a tree's root growing into a crack in rock is an example of organism causing the weathering
736,feeders by a road may cause animals to be near a road,if an animal is near a road then that animal might be killed by a car,feeders by a road may cause animals to be killed by a car
234,dinosaurs used to live in antarctica,dinosaurs cannot live in cold environments,antarctica was not a cold environment when dinosaurs used to live in antarctica
3570,a thermal insulator slows the transfer of heat,wood is an thermal insulator,wood can slow the transferring of the heat
2348,the food the plant requires to survive will be less,the decrease of something required by an organism has a negative impact on the survival of the organism,making less food has a negative impact on the plant
2439,fruit contains seeds,if something contains something else then that something is a source of that something else,fruit is a source of seeds
747,in the food chain process some types of plankton have the role of producer,producers pass materials they use through the food chain,plankton pass materials they use through the food chain
2549,fruit juice is a kind of drink,fruit juice is usually high in sugar,fruit juice is a kind of drink that is high in sugar
1309,friction occurs when two object 's surfaces move against each other,"as roughness of a surface increases , friction will increase","as the roughness of a surface increases, friction on the moving object will increase"
2135,the excretory system removes waste from the body,removing waste is a kind of function,removing waste from the body is a function of the excretory system
776,"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will become warmer",temperature is a property of climate,"as the amount of carbon in the atmosphere increases, the planet's climate will become warmer"
3012,water is made of two elements,a compound is made of two or more elements chemically combined,water is a kind of compound
1496,living in the warm ash from a volcano can have a positive impact on an animal's survival,behavioral adaptation has a positive impact on the population / the survival / the reproduction of a species / of individual organisms,an example of a behavioral adaptation is living in the warm ash from a volcano
2420,a plant is a kind of organism,"if an organism uses a process to convert something into something else, then that organism is a source of that something else through that process",if a plant uses a process to convert something into something else then that plant is a source of that something else through that process
2424,a plant is a kind of organsim,"if an organism uses a process to convert something into something else, then that organism is a source of that something else through that process","if a plant uses a process to convert something into something else, then that plant is a source of that something else through that process"
1195,refraction is when light bends and is split into lights of different color,the rainbow is made of all different colors in visible light,a rainbow is formed by refraction of light by splitting light into all different colors
1844,objects colliding can cause changes to those objects,a disruption is a kind of change,objects colliding can disrupt those objects
824,a frog is a kind of aquatic animal,a mountain chorus frog is a kind of frog,a mountain chorus frog is a kind of aquatic animal
1110,the wire is looped several times around an iron nail and is connected to a circuit,a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit,an electromaget is formed when a wire is looped around an iron nail and is connceted to a circuit
4268,a rock contains minerals,"if something contains something else , then that something else will be the component of that something",the minerals a rock contains are components of that rock
3452,fruit salad often is made of fruit,fruit is usually a solid,fruit salad is made of solids
1992,water is a part of an environment that contains dissolved oxygen,breathing is when an animal converts oxygen in their environment into oxygen in blood,breathing is when an animal converts dissolved oxygen in water into oxygen in blood
2695,producers require sunlight and water and carbon dioxide to make food,to require something means to need something,producers need sunlight and water and carbon dioxide to make food
2917,the offspring will have a 50% probability to be homozygous recessive,to have an attached earlobe requires the human to be homozygous recessive,the offspring will have a 50% probability to have an attached earlobe
1819,a starling is a kind of organism,"as available resources increases , the population of an organism using those resources will increase","as available resources increase, the population of starlings using those resources will increase"
1756,some animals must sense prey to survive,"if an animal must do something to survive, then doing that something better has a positive impact on that animal's survival",better senses have a positive impact on an animal 's survival
3753,roots are a part of a plant / tree,roots anchor plants into the soil,roots are a part of a tree that anchor it into soil
1346,"fungi are organisms that have no chlorophyll, can be multicellular, and absorb nutrients from decaying tissue",fungi are part of the biological kingdom fungi,"the biological kingdom fungi contains organisms that have no chlorophyll, can be multicellular, and absorb nutrients from decaying tissue"
3058,lemon juice contains acid,milk contains proteins,adding lemon juice to milk is similar to combining acid and protein together
2847,"if something has a negative impact on another thing, then the relationship is harmful",disease-causing microbes have a negative impact on the body,some disease-causing microbes are harmful to human body
1997,an animal requires oxygen for survival,adaptations are used for survival,an example of an adaptation is something that is used for getting oxygen
943,removal of grasses from the land will cause erosion,wind and rain can cause soil erosion,removal of grasses from the land will cause wind and rain to erode the soil
5053,if something is in the sunlight then that something will absorb solar energy,an ice cube is placed in the sunlight,the ice cube will absorb solar energy
4687,"as the number of different traits within a species increases, the likelihood some members of that species passing down a unique combination of traits to their offspring increases",the development of new traits in a species occurs when a unique combination of traits is passed down from some members of that species to their offspring,"as the number of different traits within a species increases, the likelihood of developing a new trait increases"
3068,iron is a kind of metal,iron nails are made of iron,iron nails are made of metal
583,planting trees increases the number of trees in an environment,planting tree is a kind of human action,planting trees is a kind of human action that increases the number of trees in an envrionment
831,ocean pollution can decrease the source of oxygen in the ocean,"as the amount of a source of something decreases , the amount of that something will decrease",ocean pollution can cause the amount of oxygen to decrease in the ocean
3784,if fish decrease in amount then animals that eat fish will lack food,too much fishing causes the amount of fish in an area to decrease,too much fishing can cause some animals that eat fish to lack food
519,how many years something takes is a kind of measurement of time,a period is a kind of measurement of time,how many years something takes is a kind of period
786,global warming causes the amount of water in bodies of water to increase,"as the amount of water in a body of water increases , the water levels will rise / increase especially at the edge of that body of water",global warming causes water levels to rise
3321,if a boy is in the sunlight then the boy will cause a shadow,a boy stands in the sunlight,the boy in the sunlight will cause a shadow
2576,ice is cold in temperature,a glacier is made of ice,a glacier is cold in temperature
4340,coal deposites are found underground,underground means beneath the surface of the earth,coal deposites are found beneath the surface of the earth
2795,coyotes are predators to mice and mice are prey to coyotes,if a new predator begins eating prey then the population of that prey will decrease,if a new predator begins eating mice then the population of mice will decrease
807,a sea turtle is a kind of animal,"if animals lose the thing they require to survive, their population will decrease","if sea turtles lose the thing they require to survive, their population will decrease"
1169,a girl shines a flashlight on a mirror,a flashlight emits light,"when a girl shines a flashlight on a mirror, light will shine on the mirror"
3456,water is the solvent,evaporation can be used to separate a solution by allowing the solvent to evaporate,the solute water will evaporate from the solution
46,earth rotating on its tilted axis occurs once per day,earth is a kind of planet,the earth is a planet that rotates on its tilted axis once per day
1517,an animal is a kind of organism,an example of camouflage is organism having the same color as its environment,an example of camouflage is an animal having the same color as its environment
4360,building materials are used to build buildings,a house is a kind of building,building materials can be used to build houses
4875,a frog eats flies,eating food is used to get energy by animals,a frog gets energy by eating flies
2749,green plants make food by performing photosynthesis,green plant uses sunlight for photosynthesis,a green plant uses sunlight to make food
2310,"cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy",carbohydrates are made of sugars,"cellular respiration converts from oxygen and sugars into carbon dioxide, water, and energy"
5030,iron melting is when iron changes from a solic into a liquid by increasing heat energy,temperature is a measure of heat energy,the temperature of iron is increased when iron is melting
1272,a spoon sometimes is made of metal,metal is a thermal / thermal energy conductor,a metal spoon is a thermal conductor
105,pluto is a celestial object that  has much smaller mass than other planets,"as the mass of a celestial object decreases , the surface gravity of that celestial object weakens",pluto will have much less gravity than other planets
844,aluminum cans are made of a natural resource,recycling resources has a positive impact on the conservation of those resources,recycling aluminum cans has a positive impact on the conservation of those resources
4491,cool water cannot form a hurricane,cool ocean waters are bodies of cool water,hurricanes cannot form over cool ocean waters
1799,a cactus must protect itself from animals,a spine is a part of a cactus used for protection,a cactus spine is a part of a cactus for protecting the cactus from animals
785,global warming causes glaciers to melt,amount of water in a body of water increases by storms / rain / glaciers melting / snow melting / ice melting,global warming causes the amount of water in bodies of water to increase
2881,inherited characteristics are the opposite of acquired characteristics,inheriting is when an inherited characteristic is passed from parent to offspring by genetics / dna,acquired characteristics are not inherited from parents
5098,iron can conduct electricity and heat,iron is always magnetic,iron can conduct electricity and heat and is magnetic
1959,cooling means decreasing heat / temperature,if an animal becomes too hot then that animal may die,cooling can be used by an animal for survival
2701,a producer makes its own food,green plants make their own food,green plants are a kind of producer
3285,the 100 ml water and the 150 ml water have different volumes,volume has no impact on boiling / melting / freezing point,different volumes have no impact on the freezing point of the 100ml water and 150 ml water
3205,elements from the same group in the periodic table are chemically reactive in a similar way,elements are all from the first group of the periodic table,elements from the first group are chemically reactive in a similar way
4884,the ability to store nutrients and energy is a property of food,if something does not have the properties of something else then that something is not that something else,if something does not have the ability to store nutrients and energy then that something is not food
2869,a food preference is a kind of preference,preferences are generally learned characteristics,food preference is a kind of learned characteristics
4496,evaporation means a substance changes from a liquid into a gas by increasing heat energy,water is a kind of substance,water evaporating is when water changes from a liquid to a gas by increasing heat energy
2968,ear is a kind of body part,the shape of body parts is an inherited characteristic,ear shape is a kind of inherited characteristic
3384,a field is a kind of environment,an insect usually has a small size,an insect in a field is an example of a small thing in an environment
1204,fog is made of rain droplets,rain droplets are a kind of water droplets,fog is made of water droplets
4982,the thickness of the parts of an organism is an inherited characteristic,inheriting is when an inherited characteristic is copied / is passed from parent to offspring by genetics / dna,offspring can inherit the thickness of the parts of their parents by genetics
1630,a rat snake is a kind of animal that is gray,animals are likely to have the same color as their environment,a gray rat snake is likely to be in a gray environment
3091,the temperature of the solid increases,a solid is a kind of substance,the temperature of the solid substance increases
2363,a leaf absorbs sunlight to perform photosynthesis,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",a leaf absorbs sunlight to make food
3045,a compound being broken down is a kind of chemical change,a compound can be chemically separated into the elements that it is made of,a compound can only be separated into the elements by chemical change
4197,light year is used to measure the distance between stars,the milky way is made of stars,light year can be used to measure the distance between the stars in milky way
3121,the nucleus is the center of an atom,electrons orbit the nucleus of an atom,electrons orbit the center of an atom
1686,blubber is a kind of fat,fat is used to keep animals warm,blubber is used to keep animals warm
2838,an example of a living thing depending on something to survive is an animal eating a plant,a plant is a kind of living thing,an example of a living thing depending on another living thing to survive is an animal eating a plant
323,"as the rate of rocks cooling decreases , the crystal size of the rock will increase",rate is a kind of measurement of speed,"as the speed of rocks cooling decreases, the crystal size of the rock will increase"
4533,light rays pass through air and a glass window,air and a glass in a glass window are kinds of material,light rays passes from the material air through the material glass when it pass through a glass window
3004,element 3 turning green is an example of a substance turning green,if the color of a substance changes then a chemical change may have occurred,a chemical change may occur to element 3
2870,food preference is a kind of learned characteristics,learned characteristics are similar to acquired characteristics,food preference is a kind of acquired characteristics
894,a plant requires nutrients to grow,soil contains nutrients for plants,plants use the nutrients in soil to grow
4017,sunlight is a kind of solar energy,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",photosynthesis makes food for the plant by converting sunlight into carbohydrates
1180,a shiny aluminum screen is placed on the car,shiny things reflect light,a shiny aluminum screen on a car will reflect light away from the car
893,soil with high nutrients content will be brown,color of the soil can be used to indicate the soil component,brown color can be used to indicate the soil is high in nutrients
2352,carbohydrates are made of sugars,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",photosynthesis converts sunlight into sugar
1904,rainfall is the amount of rain an area receives,rain is a source of water,"as the amount of rainfall increases in an area , the amount of available water in that area will increase"
4001,cell division causes the baby elephant to grow into adult elephant,cell division increases the number of cells in the body,the number of cells in the adult elephant will be more than the number of cells in the baby elephant
3300,the dripping wax is in liquid state,the wax from candle is usually in solid state,the wax has changed from a solid state to a liquid state
2610,dead organisms are the source of nutrients for decomposers,dead organisms rot,rotting organisms are a source of nutrients for decomposers
1336,trout is a kind of fish,gills are a part of trout,gills are a part of a fish
4367,increasing water in soil can decrease the amount of nutrients in soil,decreaseing something can cause that something to be depleted,increasing water in soil can deplete the nutrients in soil
1015,the equator receives more direct sunlight than the poles on earth,there is ocean found at the equator and the poles area,the ocean at the equator will receive more direct sunlight than the ocean at the poles
104,pluto is a dwarf planet that has much smaller mass than other planets,a dwarf planet is a kind of celestial object,pluto is a celestial object that  has much smaller mass than other planets
365,extreme heat and pressure compact sediments into sedimentary rocks,sedimentary rocks are formed by sediment compacting together,pressure compacting sediments causes sedimentary rock to form
1460,a wolf is a kind of animal,a warning is used to warn animals,a warning can be used to warn wolves
4856,a function of roots is to absorb water,absorbing something is a kind of method for taking in something,a function of roots is to take in water
3002,baking the dough to form the crust causes a chemical reaction,chemical reactions cause chemical change,baking the dough to form the crust causes a chemical change
1738,frogs and salamanders catch flying insects with their tongues,stickyness is a kind of adaptation for catching things,a sticky tongue is a kind of adaptation for catching flying insects
2979,reproduction produces / produce offspring,sexual reproduction is a kind of reproduction,sexual reproduction produces offspring
261,a mineral usually has a crystal structure,a quartz is made of six-sided transparent crystals,quartz is a kind of mineral
1412,laying eggs occurs during adulthood,adulthood is a stage in the life cycle process,laying eggs occurs during the adult stage in the life cycle
3314,temperature changing can cause a substance to change from one state of matter into another state of matter,air temperature is a kind of temperature,a change in air temperature can cause a substance to change from one state of matter into another state of matter
3745,renewable resources have the potential to produce renewable electric energy,geothermal energy is a renewable resource,geothermal energy has the potential to produce renewable electric energy
802,cutting down trees in a forest causes the number of habitat to decrease,an animal requires a habitat for survival,cutting down trees in a forest causes the number of habitat required by animals for survival to decrease
1777,bats are a kind of animal that finds their prey by sensing echos,echolocation is when some animals detect objects by hearing echoes by emitting sound,bats find their prey by using echolocation
2000,a lung is a kind of organ for taking in air,the lungs are a part of the respiratory system,the respiratory system takes in oxygen from the air
1480,an environment is cold in the winter,cold environments usually have little food for animals,an environment usually has little food for animals in the winter
4082,humans changing a meadow causes rabbit populations to decrease in that meadow,humans / farmers planting fruit trees changes an animals' environemnt,humans / farmers planting fruit trees in a meadow causes rabbit populations to decrease in that meadow
3332,"as the temperature increases, the particles in the matter will move faster and farther apart",a copper wire is a kind of matter,"as the temperature of the copper wire increases, the particles in the matter will move faster and farther apart"
4126,a periodic table is a kind of scientific model,the periodic table of elements can be used for predicting / determining the properties of an element,the periodic table of elements is the model that can be used to determine the properties of elements
4699,crops are a kind of edible plant for eating,plants require water for survival / to grow,crops require water to grow
4364,wood boards are a kind of building material,wood boards are made of a renewable natural resource,wood boards are a kind of building material that is made of a renewable natural resource
1619,a rat snake is a kind of animal,a rat snake is gray,a rat snake is a kind of animal that is gray
4513,the electric motor in the fan converts electrical energy into mechanical energy,a fan is a kind of appliance,a fan is the appliance that converts electrical energy into mechanical energy
4852,absorbing something is a kind of process,if something is a vehicle for a process then that something performs that process,if something is a vehicle for absorbing something else then that something absorbs that something else
2964,offspring will inherit the inherited trait of being deciduous from their parents,a buckeye tree is a kind of deciduous tree,the offspring of the buckeye tree will inherit the inherited trait of being deciduous from their parents
3597,matter in the solid phase has definite volume,one sample is a solid sample of aluminum,the solid aluminum has definite volume
3127,protons and neutrons together will be positive in electric charge,the nucleus of an atom is made of protons and neutrons,the nucleus of an atom is positve in electric charge
1928,water and sunlight are resources for plants,different plants require different amounts of certain resources to grow / survive,different plants require different amounts of water and sunlight to grow / survive
4979,the offspring will have 25% probability to be homozygous dominant,black fur is homozygous dominant for mice,the offspring will have 25% probability to have black fur
2124,"during digestion, food passes through the intestines",something can be squeezed through something else in order to help it pass through that something else,"during digestion, food is squeezed through the intestines"
5003,limestone reacting with hydrochloric acid will produce carbon dioxide,chemical reactions cause new substances to form,a chemical reaction has taken place between limetone and hydrochloric
4067,fertile soil is made of high amounts of nutrients / nitrogen,if something is made of something else then the formation of that something requires that something else,high amounts of nutrients / nitrogen are required for the formation of fertile soil
3354,speed can be determined by measuring the distance with a meter stick and dividing that by the measurement of time from the stopwatch,a calculator is used for dividing,"the speed of an object can be measured using a meter stick, stopwatch, and calculator"
1668,better senses have a positive impact on an animal 's survival,being able to sense things from all directions improves something's senses,being able to sense things from all directions has a positive impact on an animal's survival
4329,to move something can mean to transfer something,flowing is a kind of movement for energy,flowing can be a kind of transfer of energy
4103,an acid changes the color of litmus paper from blue to red,an acid is corrosive,an acid is corrosive and can change the color of litmus paper from blue to red
990,low areas means places with low elevation,"as elevation of a place decreases , how much a flood will affect that place will increases",a flood will affect low areas more than higher areas
4911,plants require nutrients from soil,plants are a kind of producer,producers require nutrients in soil
3532,the intensive property of something is the same for the things of same kind,hardness is an intensive property,hardness of a something is the same for the things of same kind
4170,the intensive properties of two samples are the same,density is an intensive property of substance,two samples will have the same density
2083,the digestive system digests food for the body,digestion is when food is absorbed into the blood stream,the digestive system absorbs food into the blood stream
3850,"if a pot is exposed to a stove, then the pot will become hot",a handle is a part of an object for holding that object,"if a pot become hot, then the handle of the pot will become hot"
440,renewable is a property of resources,if something cannot have a certain property then something else with that property is not that something,if one resource cannot be renewable then another resource that is renweable is not that one resource
3229,if a pot is exposed to a stove then that pot may become hot,the pot is exposed to a stove,the pot may become hot
2504,roots are a vehicle for taking in iron from the soil,if something is a vehicle for a process then that something performs that process,roots take in iron from the soil
1746,whiskers are part of a fish used for finding food,the ability to find food has a positive impact on an animal's survival,whiskers have a positive impact on a fish's survival by helping it find food
3239,water condensing means water changes from a gas into a liquid by decreasing heat energy,"water is in the gas state , called water vapor",water condensing means water vapor changes from a gas into a liquid by decreasing heat energy
2150,moving faster is a kind of method for moving better,helping means something can be done better,helping something move can mean causing something to move faster
3805,water freezing means water changes from a liquid to ice,ice wedging is when ice causes rocks to crack by expanding in openings,the ice formed by water freezing causes rocks to crack by expanding in openings
4535,light rays passes from the material air through the material glass when it pass through a glass window,refraction is when light passes from one material to another material,the light rays will refract when they pass through a glass window
2297,growth means size / number / value / strength increases,cell division often causes growth / healing,cell division causes growth in size
4597,feathers are a characteristic all of birds and feathers are not a part of any other vertebrate,if something is a characteristic of only one kind of thing then that something is a distinguishing characteristic,feathers are a distinguishing characteristic of birds
4206,the surface of the moon contains mountains,the surface of the earth contains mountains,both the surface of the moon and the surface of the earth contain mountains
750,water is a kind of natural resource that organisms require to survive,"when available resources decrease in an environment , organisms have to conserve those resources","when water decreases in an environment, organisms have to conserve water to survive"
4674,eating something has a negative impact on that something,some animals eat cacti,animals have negative impact on cacti
2060,red blood cells are a kind of blood cell that contain hemoglobin,hemoglobin is a kind of protein that carries oxygen,red blood cells are a kind of blood cell that contain a protein that carries oxygen
1537,hiding has a positive impact on an organism's survival,camouflage is a kind of adaptation for hiding in an environment,camouflage has a positive impact on an organism's survival
1024,cold fronts cause thunderstorms as they pass by,a large cold front is moving past the school,the large cold front passing the school will cause thunderstorms
676,large amounts of wood can be found in a forest,wood is a kind of resource,wood is a kind of resource that can be found in large amounts in a forest
5025,an normal atom has a neutral electric charge,"charge is a property of an atom and includes values of negatively-charged, neutral, or positively-charged",an atom is neutral in electric charge property
3195,oxygen gas is an element,o2 is a chemical formula for oxygen gas,o2 is an element
1795,large leaves are a kind of adaptation for absorbing sunlight,low availability of sunlight has a negative impact on plants in tropical rainforest floors,plants on tropical rainforest floors grow large leaves due to the low availability of sunlight
4251,the formation of diamonds requires intense pressure and extreme heat,the heat and pressure is extreme deep below earth's crust,the formation of diamonds occurs beneath the the surface of the earth
5107,the metal spoon is exposed to a source of heat,"if a metal spoon is exposed to a source of heat, then the metal spoon will become hot",the metal spoon will get hot
2889,birds avoiding a specific kind of butterfly is a learned behavior,learned behaviors are learned over the lifetime of a bird,birds learn to avoid a specific kind of butterfly over their lifetime
3365,"if a unit for something is being measured, then it requires a measurement tool for measuring that something",milliliters ml are a metric unit used for measuring volume,measuring milliliters requires a tool for measuring volume
2886,a butterfly is a kind of animal,a bird is a kind of animal,birds and butterflies are kinds of animals
985,acid can form soil by weathering rocks,plants can produce acid,plants can form soil by producing acid to weather rocks
